,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,The Beaches,43.67635739999999,-79.2930312,Grover Pub and Grub,43.679181434941015,-79.29721535878515,Pub
1,The Beaches,43.67635739999999,-79.2930312,Starbucks,43.67879837444001,-79.2980449760153,Coffee Shop
2,The Beaches,43.67635739999999,-79.2930312,Upper Beaches,43.68056321147582,-79.2928688743688,Neighborhood
3,The Beaches,43.67635739999999,-79.2930312,Beaches Fitness,43.68031856425797,-79.29099082946777,Gym / Fitness Center
4,The Beaches,43.67635739999999,-79.2930312,Dip 'n Sip,43.67889707815811,-79.29774501670785,Coffee Shop
5,"The Danforth West,Riverdale",43.6795571,-79.352188,Pantheon,43.67762124481265,-79.35143390043564,Greek Restaurant
6,"The Danforth West,Riverdale",43.6795571,-79.352188,Dolce Gelato,43.677772998450614,-79.35118737317053,Ice Cream Shop
7,"The Danforth West,Riverdale",43.6795571,-79.352188,MenEssentials,43.677820068604575,-79.35126543045044,Cosmetics Shop
8,"The Danforth West,Riverdale",43.6795571,-79.352188,Messini Authentic Gyros,43.677827494513096,-79.35056873157725,Greek Restaurant
9,"The Danforth West,Riverdale",43.6795571,-79.352188,Mezes,43.6779622615441,-79.35019606997218,Greek Restaurant
10,"The Danforth West,Riverdale",43.6795571,-79.352188,Cafe Fiorentina,43.677743,-79.350115,Italian Restaurant
11,"The Danforth West,Riverdale",43.6795571,-79.352188,Christina's On The Danforth,43.678239784878826,-79.34918494943804,Greek Restaurant
12,"The Danforth West,Riverdale",43.6795571,-79.352188,Moksha Yoga Danforth,43.67762174479883,-79.3521159367257,Yoga Studio
13,"The Danforth West,Riverdale",43.6795571,-79.352188,The Big Carrot Natural Food Market,43.67763071285667,-79.35307590618733,Health Food Store
14,"The Danforth West,Riverdale",43.6795571,-79.352188,Louis Cifer Brew Works,43.677662745359996,-79.3513125762371,Brewery
15,"The Danforth West,Riverdale",43.6795571,-79.352188,The Auld Spot Pub,43.67733505610778,-79.35312964755529,Pub
16,"The Danforth West,Riverdale",43.6795571,-79.352188,7 Numbers,43.677061774959824,-79.35393428891682,Italian Restaurant
17,"The Danforth West,Riverdale",43.6795571,-79.352188,Valley Farm Produce,43.677999294687275,-79.3499690927287,Fruit & Vegetable Store
18,"The Danforth West,Riverdale",43.6795571,-79.352188,La Diperie,43.67753,-79.352295,Ice Cream Shop
19,"The Danforth West,Riverdale",43.6795571,-79.352188,Pizzeria Libretto,43.678488633358,-79.34757579277853,Pizza Place
20,"The Danforth West,Riverdale",43.6795571,-79.352188,Rikkochez,43.677267,-79.353274,Restaurant
21,"The Danforth West,Riverdale",43.6795571,-79.352188,Pan on the Danforth,43.678263168189865,-79.34864777195595,Greek Restaurant
22,"The Danforth West,Riverdale",43.6795571,-79.352188,Astoria Shish Kebob House,43.67768890877185,-79.35189216872803,Greek Restaurant
23,"The Danforth West,Riverdale",43.6795571,-79.352188,The Big Carrot Organic Juice Bar,43.677501678,-79.352775574,Juice Bar
24,"The Danforth West,Riverdale",43.6795571,-79.352188,Don Valley Trail,43.67633091997674,-79.35392333297455,Trail
25,"The Danforth West,Riverdale",43.6795571,-79.352188,Re: Reading,43.678506570428084,-79.34767758382526,Bookstore
26,"The Danforth West,Riverdale",43.6795571,-79.352188,Ouzeri,43.678192920575846,-79.34890781832556,Greek Restaurant
27,"The Danforth West,Riverdale",43.6795571,-79.352188,Detroit Eatery,43.67759437002395,-79.35176144372598,Diner
